id,ok,issues,query,expected_intent,actual_intent,expected_products_include,must_not_prioritize,answer,top_products
T0001,True,,máte sushi ryža?,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0002,True,,mate sushi ryža?,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0003,True,,hľadám sushi ryža,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0004,True,,hladam sushi ryža,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0005,True,,potrebujem sushi ryža,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0006,True,,kde nájdem sushi ryža,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0007,True,,ukáž mi sushi ryža,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0008,True,,chcem kúpiť sushi ryža,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0009,True,,predávate sushi ryža?,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0010,True,,aké máte sushi ryža,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
